"County";"CountyID"
"Hill";1
"Hale";2
"Taylor";3
"Martin";4
"Dallas";5
"Oldham";6
"Nueces";7
"Hidalgo";8
"Bexar";9
"Wood";10
"Shackelford";11
"Parker";12
"Jim Wells";13
"Collin";14
"Ellis";15
"Brewster";16
"Cherokee";17
"Johnson";18
"Brazoria";19
"Wise";20
"Potter";21
"Liberty";22
"Lamb";23
"Chambers";24
"Grimes";25
"Andrews";26
"Navarro";27
"Red River";28
"Jones";29
"El Paso";30
"Hockley";31
"Nacogdoches";32
"San Patricio";33
"Archer";34
"Fort Bend";35
"Denton";36
"Tarrant";37
"Smith";38
"Dimmit";39
"Stonewall";40
"Henderson";41
"Cass";42
"Travis";43
"Refugio";44
"Fannin";45
"Callahan";46
"Runnels";47
"Reeves";48
"Bandera";49
"Brown";50
"Williamson";51
"Bastrop";52
"Matagorda";53
"Galveston";54
"Harris";55
"Cameron";56
"Jefferson";57
"Panola";58
"Bee";59
"Clay";60
"McLennan";61
"Grayson";62
"Austin";63
"Bell";64
"Duval";65
"Knox";66
"Burnet";67
"Reagan";68
"Upshur";69
"Howard";70
"Nolan";71
"Blanco";72
"Lamar";73
"Kendall";74
"Lipscomb";75
"Hutchinson";76
"Parmer";77
"Montague";78
"Kinney";79
"McCulloch";80
"Stephens";81
"Robertson";82
"Washington";83
"Orange";84
"San Augustine";85
"Coke";86
"Waller";87
"Jasper";88
"Terry";89
"Brazos";90
"Jack";91
"Milam";92
"Hays";93
"Leon";94
"Lubbock";95
"Comal";96
"Wichita";97
"Angelina";98
"Moore";99
"Hunt";100
"Burleson";101
"Real";102
"Hemphill";103
"Van Zandt";104
"Randall";105
"Eastland";106
"Fayette";107
"Medina";108
"Shelby";109
"Hartley";110
"Atascosa";111
"Tyler";112
"Childress";113
"Hardeman";114
"Guadalupe";115
"Donley";116
"Gregg";117
"Armstrong";118
"Bosque";119
"San Jacinto";120
"Coleman";121
"Mitchell";122
"Colorado";123
"Comanche";124
"Kaufman";125
"Hopkins";126
"Montgomery";127
"Limestone";128
"Delta";129
"Coryell";130
"Polk";131
"La Salle";132
"Crane";133
"Hood";134
"Houston";135
"Crosby";136
"Foard";137
"Zavala";138
"Dewitt";139
"Morris";140
"Dallam";141
"Bowie";142
"Val Verde";143
"Hudspeth";144
"Yoakum";145
"Dickens";146
"Frio";147
"Castro";148
"Erath";149
"Maverick";150
"Wharton";151
"Rains";152
"Concho";153
"Jackson";154
"Webb";155
"Schleicher";156
"Anderson";157
"Starr";158
"Hall";159
"Hamilton";160
"Freestone";161
"Brooks";162
"Karnes";163
"Rockwall";164
"Wilson";165
"Floyd";166
"Pecos";167
"Gillespie";168
"Aransas";169
"Cooke";170
"Live Oak";171
"Lee";172
"Somervell";173
"Ector";174
"Mills";175
"Goliad";176
"Falls";177
"Gonzales";178
"Palo Pinto";179
"Young";180
"Ward";181
"Carson";182
"Trinity";183
"Hansford";184
"Lavaca";185
"Harrison";186
"Swisher";187
"Haskell";188
"Sabine";189
"Rusk";190
"Deaf Smith";191
"Walker";192
"Kerr";193
"Kent";194
"Marion";195
"Kimble";196
"Lampasas";197
"Winkler";198
"Kleberg";199
"Hardin";200
"Dawson";201
"Gray";202
"Llano";203
"Caldwell";204
"Willacy";205
"Madison";206
"Presidio";207
"Mason";208
"Motley";209
"Upton";210
"Menard";211
"Irion";212
"Roberts";213
"Midland";214
"Titus";215
"Wheeler";216
"Cochran";217
"Franklin";218
"Bailey";219
"Newton";220
"Lynn";221
"Cottle";222
"Ochiltree";223
"Camp";224
"Calhoun";225
"Garza";226
"Briscoe";227
"San Saba";228
"Fisher";229
"Edwards";230
"Uvalde";231
"Tom Green";232
"Gaines";233
"Baylor";234
"Scurry";235
"Sutton";236
"Sterling";237
"Sherman";238
"Throckmorton";239
"Jeff Davis";240
"Culberson";241
"Wilbarger";242
"Victoria";243
"Collingsworth";244
